name,url,price,rating,review_count,image
"HP Pavilion Gaming 11th Gen Intel Core i5 15.6""(39.6cm) FHD Gaming Laptop (8GB RAM/512GB SSD/RTX 3050 4GB Graphics/144 Hz/B&O/Windows 10 Home/MS Office/2.23Kg), 15-dk2012TX, Black ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2OTQ4MjA1MDg0NTQwMjQ6MTY3NjAxNzM5NDpzcF9hdGY6MjAxMTc4MzkxOTEyOTg6OjA6Og&url=%2FHP-Pavilion-Graphics-Windows-15-dk2012TX%2Fdp%2FB09J2GR7X3%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017394%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹71,990",3.9 out of 5 stars,38,https://m.media-amazon.com/images/I/51DmOWr3rnL._AC_UY218_.jpg
"HP 15s AMD Ryzen 3- 5300U 15.6inch(39.6cm) FHD Laptop (8GB RAM/512GB SSD, Micro-Edge, Anti-Glare Display/Radeon Graphics/Windows 11 Home/Alexa/Dual Speakers/Ms Office/1.69Kg, 15s-Eq2143au) ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2OTQ4MjA1MDg0NTQwMjQ6MTY3NjAxNzM5NDpzcF9hdGY6MjAwODM0MTQ5MDY4OTg6OjA6Og&url=%2FHP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au%2Fdp%2FB09R1MMMTH%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017394%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹38,990",4.0 out of 5 stars,"1,192",https://m.media-amazon.com/images/I/91FF3XjlikL._AC_UY218_.jpg
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU ",https://www.amazon.in//HP-15s-Ryzen-15-6inch-Micro-Edge-15s-ey1508AU/dp/B0BJ2LZXD9/ref=sr_1_3?keywords=HP+Laptop&qid=1676017394&sr=8-3,"₹29,990",3.5 out of 5 stars,76,https://m.media-amazon.com/images/I/81bu95bhbOL._AC_UY218_.jpg
"HP 15s, AMD Athlon Silver 3050U 8GB RAM/512GB SSD 15.6-inches/39.6 cm HD, Micro-Edge Display/Windows 11/AMD Radeon Graphics/Dual Speakers/MSO/Fast Charge/1.69 Kg, 15s-eq1559AU ",https://www.amazon.in//HP-15-6-inches-Micro-Edge-Graphics-15s-eq1559AU/dp/B0B6F5TDK4/ref=sr_1_4?keywords=HP+Laptop&qid=1676017394&sr=8-4,"₹29,300",3.7 out of 5 stars,138,https://m.media-amazon.com/images/I/81bu95bhbOL._AC_UY218_.jpg
"HP 15s, 11th Gen Intel Core i3, 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fr2511TU ",https://www.amazon.in//HP-15-6-inch-Micro-Edge-Anti-Glare-15s-fr2511TU/dp/B0B4N1FRW8/ref=sr_1_5?keywords=HP+Laptop&qid=1676017394&sr=8-5,"₹40,890",4.0 out of 5 stars,171,https://m.media-amazon.com/images/I/91oF9q-jE5L._AC_UY218_.jpg
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 1TB HDD/ Windows 11/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA , Anti-Glare WLED/Black/1 Year Onsite Warranty ",https://www.amazon.in//HP-Windows-Graphics-Anti-Glare-Warranty/dp/B09N7TY7VL/ref=sr_1_6?keywords=HP+Laptop&qid=1676017394&sr=8-6,"₹27,499",3.5 out of 5 stars,14,https://m.media-amazon.com/images/I/41Kk-2FbJuL._AC_UY218_.jpg
"HP 15s, 12th Gen Intel Core i5 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/MSO 2021/1.41 Kg, 15s- fq5111TU ",https://www.amazon.in//HP-Micro-Edge-Anti-Glare-15s-fq5111TU/dp/B0B6F5V23N/ref=sr_1_7?keywords=HP+Laptop&qid=1676017394&sr=8-7,"₹58,530",4.1 out of 5 stars,891,https://m.media-amazon.com/images/I/91+6YECnK3L._AC_UY218_.jpg
"HP 14s, 11th Gen Intel Core i3-1115G4, 8GB RAM/256GB SSD 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MSO 2021/1.41 Kg, 14s-dy2507TU ",https://www.amazon.in//HP-i3-1115G4-Micro-Edge-Anti-Glare-14s-dy2507TU/dp/B0B63Y75P9/ref=sr_1_8?keywords=HP+Laptop&qid=1676017394&sr=8-8,"₹37,490",4.0 out of 5 stars,389,https://m.media-amazon.com/images/I/81zoyHn5uJL._AC_UY218_.jpg
(Renewed) HP 840g3 Elitebook Ultralight 1.48 KG (6th Gen Intel Core i5 - 6300U /8 GB/512 GB SSD/Windows 10 Pro/Silver /14 Inch Screen) ,https://www.amazon.in//Renewed-HP-Elitebook-Screen-Laptop/dp/B083VRFRTG/ref=sr_1_9?keywords=HP+Laptop&qid=1676017394&sr=8-9,"₹20,292",3.5 out of 5 stars,44,https://m.media-amazon.com/images/I/61zUVkVjM8L._AC_UY218_.jpg
"HP 14S-Intel Pentium Silver N6000- 8Gb Ram/256Gb Ssd 14 Inches (35.6Cm) Hd, Micro-Edge Display (Uhd Graphics/Alexa/Dual Speakers/Fast Charge/Windows 11 Home/Ms Office), 14S- Dq3033Tu,Jet Black ",https://www.amazon.in//14S-Intel-Micro-Edge-Graphics-Speakers-Dq3033Tu/dp/B09S9PL2BS/ref=sr_1_10?keywords=HP+Laptop&qid=1676017394&sr=8-10,"₹26,279",3.4 out of 5 stars,74,https://m.media-amazon.com/images/I/41-4fixZuzL._AC_UY218_.jpg
